MonthlyCharges,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Dependents_Yes,OnlineSecurity_Yes,TechSupport_Yes,PaperlessBilling_Yes
170.35,0,1,0,1,0,0,0,0,1,0,0,0,0,1
24,45.20,0,1,0,0,1,0,1,0,0,0,0,0,1,0
95.10,0,1,0,1,0,0,0,0,1,0,1,1,0,1
65.50,1,0,0,0,0,1,0,0,0,1,1,1,1,0
80.00,0,1,0,1,0,0,0,0,1,0,0,0,0,1
60.75,1,0,0,0,1,0,1,0,0,0,1,1,0,1
89.99,0,1,0,1,0,0,0,1,0,0,0,0,1,1
55.25,1,0,0,0,0,1,1,0,0,0,1,1,1,0
100.00,0,1,0,1,0,0,0,0,1,0,0,0,0,1
50.45,1,0,0,0,1,0,0,1,0,0,1,1,0,0
